               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.010863,           0.0071076,            0.089161,            0.005082,             0.99879,           0.0099862,           0.0092645,            0.003178,           0.0020872,            0.043994,            0.070059,           0.0033268,           0.0033268
                   1,            0.011251,           0.0071722,            0.089186,           0.0050725,             0.99831,            0.010407,           0.0094135,           0.0035893,           0.0020513,            0.043997,            0.039927,           0.0065282,           0.0065282
                   2,            0.012716,           0.0073585,            0.088634,           0.0050765,             0.99866,            0.010671,           0.0095235,           0.0036957,           0.0021806,            0.044049,           0.0096632,           0.0095977,           0.0095977
                   3,            0.013663,           0.0077147,            0.088876,           0.0050758,              0.9987,            0.011538,            0.010272,           0.0037977,           0.0023232,            0.043934,            0.009406,            0.009406,            0.009406
                   4,            0.013312,           0.0076537,            0.087574,           0.0050762,             0.99888,             0.01269,            0.011115,           0.0038523,           0.0022627,            0.043785,            0.009406,            0.009406,            0.009406
                   5,            0.013529,           0.0076553,            0.088651,            0.005072,             0.99906,            0.016144,            0.013876,           0.0037403,           0.0022493,            0.043505,            0.009208,            0.009208,            0.009208
                   6,            0.012621,           0.0075765,            0.088172,           0.0050727,             0.99856,            0.019669,            0.017039,           0.0037999,           0.0024274,            0.043081,             0.00901,             0.00901,             0.00901
                   7,            0.012608,            0.007486,            0.087055,           0.0050871,             0.99935,            0.025077,            0.021255,           0.0037235,           0.0023394,            0.042401,            0.008812,            0.008812,            0.008812
                   8,            0.013041,           0.0074755,            0.087887,             0.77955,            0.069222,            0.027593,            0.023834,           0.0038515,           0.0022768,            0.041761,            0.008614,            0.008614,            0.008614
                   9,            0.012641,           0.0074741,            0.086467,             0.66302,             0.14395,            0.034701,            0.029988,           0.0039305,           0.0021477,            0.040921,            0.008416,            0.008416,            0.008416
                  10,            0.012873,           0.0076861,            0.084797,             0.64444,             0.15502,            0.037009,            0.032061,           0.0039549,           0.0024185,            0.040415,            0.008218,            0.008218,            0.008218
                  11,               0.013,           0.0076781,            0.082943,             0.50825,             0.19519,             0.04265,            0.037001,           0.0037246,           0.0021704,            0.039723,             0.00802,             0.00802,             0.00802
                  12,            0.013473,           0.0075743,            0.083298,              0.6586,              0.1238,            0.048637,            0.042946,           0.0036467,           0.0022234,            0.038639,            0.007822,            0.007822,            0.007822
                  13,            0.013264,           0.0076054,            0.081926,             0.74063,            0.070149,            0.057345,             0.05059,             0.00354,           0.0021363,            0.037663,            0.007624,            0.007624,            0.007624
                  14,            0.013273,           0.0074798,            0.081296,             0.70895,            0.079225,            0.063383,             0.05602,           0.0035936,           0.0021766,            0.036947,            0.007426,            0.007426,            0.007426
                  15,            0.013162,           0.0074986,             0.07986,             0.72708,             0.11863,            0.075021,             0.06589,           0.0038417,           0.0021851,            0.036124,            0.007228,            0.007228,            0.007228
                  16,            0.013891,           0.0075434,            0.080186,             0.71378,             0.15061,            0.083735,            0.074018,           0.0035761,           0.0021444,            0.035638,             0.00703,             0.00703,             0.00703
                  17,            0.012628,           0.0073356,            0.076393,             0.56621,              0.1631,            0.095421,            0.084835,           0.0036135,           0.0022377,            0.034473,            0.006832,            0.006832,            0.006832
                  18,            0.012984,           0.0072729,            0.077533,             0.55695,             0.16101,             0.10691,            0.095169,           0.0035134,           0.0021291,            0.033664,            0.006634,            0.006634,            0.006634
                  19,            0.013266,           0.0073936,            0.077299,             0.51016,             0.20425,             0.11767,             0.10413,           0.0036467,           0.0022011,            0.033054,            0.006436,            0.006436,            0.006436
                  20,            0.013083,           0.0073721,            0.075374,             0.51786,             0.22606,             0.14058,             0.12697,           0.0033951,           0.0020802,            0.032274,            0.006238,            0.006238,            0.006238
                  21,             0.01296,           0.0073578,            0.073901,             0.51174,             0.23071,               0.155,               0.139,           0.0034781,           0.0020847,            0.031712,             0.00604,             0.00604,             0.00604
                  22,            0.012373,            0.007299,            0.072203,              0.4761,             0.27349,             0.17488,             0.15627,            0.003523,           0.0021093,              0.0307,            0.005842,            0.005842,            0.005842
                  23,            0.012693,           0.0073461,            0.072638,             0.47488,             0.28362,             0.19238,             0.17352,            0.003307,           0.0020235,            0.030131,            0.005644,            0.005644,            0.005644
                  24,            0.012721,           0.0073722,            0.071501,             0.42883,             0.34291,              0.2023,             0.18115,           0.0033959,           0.0020725,            0.029302,            0.005446,            0.005446,            0.005446
                  25,            0.012902,           0.0072872,            0.072046,             0.45167,             0.33338,             0.22422,             0.20224,           0.0033908,           0.0020463,            0.028672,            0.005248,            0.005248,            0.005248
                  26,            0.012683,           0.0072538,            0.069836,             0.43629,             0.36212,             0.24515,             0.22148,           0.0033605,            0.002091,            0.027971,             0.00505,             0.00505,             0.00505
                  27,            0.013014,           0.0073657,            0.070364,             0.41692,             0.38573,             0.26736,             0.23983,           0.0034961,            0.002211,            0.026994,            0.004852,            0.004852,            0.004852
                  28,            0.012873,           0.0073593,             0.06775,             0.42599,             0.40487,             0.28834,              0.2596,           0.0033844,           0.0020841,            0.026474,            0.004654,            0.004654,            0.004654
                  29,            0.012592,           0.0072711,            0.067422,             0.44649,             0.42597,              0.3193,             0.28748,           0.0033744,           0.0020548,            0.025664,            0.004456,            0.004456,            0.004456
                  30,            0.012528,           0.0072555,            0.066199,             0.41683,             0.47103,             0.34601,               0.313,           0.0033428,           0.0020885,            0.024923,            0.004258,            0.004258,            0.004258
                  31,            0.012794,           0.0072056,            0.066296,             0.39985,             0.46781,             0.35777,             0.32273,           0.0034149,           0.0020295,            0.024286,             0.00406,             0.00406,             0.00406
                  32,            0.012463,           0.0071207,            0.064547,             0.41519,             0.51468,              0.3913,             0.35341,           0.0033783,           0.0019909,            0.023358,            0.003862,            0.003862,            0.003862
                  33,            0.012742,           0.0071846,            0.064481,             0.41744,              0.5392,             0.41969,             0.37892,            0.003351,           0.0020664,            0.022547,            0.003664,            0.003664,            0.003664
                  34,            0.012419,           0.0072005,            0.063652,             0.43919,              0.5391,             0.44218,             0.40253,           0.0032467,           0.0020095,            0.022052,            0.003466,            0.003466,            0.003466
                  35,            0.012319,           0.0071471,            0.061389,             0.42432,             0.55853,             0.45869,             0.41874,           0.0032533,           0.0019902,            0.021328,            0.003268,            0.003268,            0.003268
                  36,            0.012662,             0.00717,            0.061424,             0.46916,             0.58146,             0.49743,             0.45482,           0.0031882,           0.0019851,            0.020591,             0.00307,             0.00307,             0.00307
                  37,             0.01207,           0.0070761,            0.059751,             0.47556,             0.59134,             0.51325,             0.47018,           0.0032127,           0.0020154,            0.020127,            0.002872,            0.002872,            0.002872
                  38,            0.012213,            0.007101,            0.060511,             0.48133,             0.61202,             0.54285,             0.49817,           0.0031323,           0.0019789,            0.019314,            0.002674,            0.002674,            0.002674
                  39,            0.011768,           0.0068805,            0.058159,              0.4868,             0.61718,             0.55315,              0.5097,            0.003072,           0.0019396,            0.018889,            0.002476,            0.002476,            0.002476
                  40,            0.011689,           0.0069145,            0.059096,             0.50475,             0.62766,             0.57477,             0.52778,           0.0031733,           0.0019593,            0.018349,            0.002278,            0.002278,            0.002278
                  41,            0.011371,           0.0068063,            0.056341,             0.51556,             0.63128,             0.59266,             0.54817,             0.00302,           0.0019197,            0.017727,             0.00208,             0.00208,             0.00208
                  42,            0.011279,           0.0067933,             0.05607,             0.51702,             0.65742,             0.60677,              0.5619,           0.0029587,           0.0019125,            0.017325,            0.001882,            0.001882,            0.001882
                  43,            0.010942,             0.00684,            0.055059,              0.5272,             0.66453,             0.62574,             0.57956,           0.0030079,           0.0019124,             0.01676,            0.001684,            0.001684,            0.001684
                  44,            0.010742,           0.0067585,             0.05357,             0.53396,             0.67757,             0.64026,             0.59479,           0.0029249,           0.0018913,            0.016394,            0.001486,            0.001486,            0.001486
                  45,            0.010591,           0.0067899,            0.053713,             0.54513,             0.68025,             0.65571,             0.61123,             0.00286,           0.0018679,            0.015915,            0.001288,            0.001288,            0.001288
                  46,            0.010407,           0.0066592,            0.053533,             0.55367,             0.69124,             0.66407,             0.61983,           0.0028206,           0.0018782,             0.01559,             0.00109,             0.00109,             0.00109
                  47,           0.0099509,           0.0066176,            0.052943,             0.55612,             0.69838,             0.67368,             0.62925,           0.0028079,           0.0018615,            0.015196,            0.000892,            0.000892,            0.000892
                  48,           0.0096339,           0.0064782,            0.052068,             0.56396,             0.70949,             0.68315,             0.63927,             0.00275,           0.0018498,            0.014821,            0.000694,            0.000694,            0.000694
                  49,           0.0091217,           0.0064141,            0.050956,             0.56347,             0.71262,             0.68984,             0.64544,           0.0027472,           0.0018644,            0.014546,            0.000496,            0.000496,            0.000496
